03/07/2025 15:56:54 - Temperature: 26.2, Humidity: 44.0
04/07/2025 10:30:08 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:13 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:18 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:23 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:28 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:33 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:38 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:43 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:48 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:53 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:30:58 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:31:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:32:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:33:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:34:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:35:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:36:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:04 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:09 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:14 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:19 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:24 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:29 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:34 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:39 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:44 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:49 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:54 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:37:59 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:35 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:40 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:45 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:50 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:38:55 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:00 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:35 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:40 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:45 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:50 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:39:55 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:00 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:35 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:40 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:45 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:50 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:40:55 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:00 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:35 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:40 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:45 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:50 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:41:55 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:00 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:35 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:40 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:45 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:50 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:42:55 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:00 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:35 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:40 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:45 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:50 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:43:55 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:00 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:05 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:10 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:15 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:20 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:25 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:44:30 - Temperature: 26.2, Humidity: 47.0
04/07/2025 10:45:58 - Temperature: 26.2, Humidity: 46.0
04/07/2025 10:46:03 - Temperature: 26.2, Humidity: 46.0
04/07/2025 10:46:08 - Temperature: 26.2, Humidity: 45.0
04/07/2025 10:46:13 - Temperature: 26.2, Humidity: 53.0
04/07/2025 10:46:18 - Temperature: 26.7, Humidity: 64.0
04/07/2025 10:46:23 - Temperature: 27.6, Humidity: 71.0
04/07/2025 10:46:28 - Temperature: 28.5, Humidity: 72.0
04/07/2025 10:46:33 - Temperature: 28.9, Humidity: 76.0
04/07/2025 10:46:38 - Temperature: 29.8, Humidity: 77.0
04/07/2025 10:46:43 - Temperature: 30.2, Humidity: 78.0
04/07/2025 10:46:48 - Temperature: 30.8, Humidity: 79.0
04/07/2025 10:46:53 - Temperature: 31.0, Humidity: 75.0
04/07/2025 10:46:58 - Temperature: 31.3, Humidity: 69.0
